price	sqft	bathrooms	bedrooms	type	region	address	city
1198000	927	2	2	Apt/Condo	Coal Harbour	2109-1239 W Georgia Street	Vancouver
1198800	1560	2	2	Townhouse	University (Ubc)	6246 Logan Lane	Vancouver
3580000	4393	5	5	House	Southwest Marine	6775 West Boulevard	Vancouver
1699800	2288	4	6	House	Knight	4625 Dumfries Street	Vancouver
819000	803	1	1	Apt/Condo	False Creek	603-495 W 6th Avenue	Vancouver
5998000	3373	2	3	House	Point Grey	4176 Crown Crescent	Vancouver
1998000	1796	3	2	Apt/Condo	Kerrisdale	202-2238 W 40th Avenue	Vancouver
1663000	1511	2	3	Apt/Condo	West End	304-1835 Morton Avenue	Vancouver
1688000	2335	3	4	House	Renfrew	2881 Charles Street	Vancouver
958000	850	1	1	Apt/Condo	Yaletown	1303-1455 Howe Street	Vancouver
608000	704	1	2	Apt/Condo	Cambie	103-930 W 16th Avenue	Vancouver
4288000	2505	3	4	House	Grandview East	1824 E 10th Avenue	Vancouver
2648000	2977	7	7	House	Knight	1326 E 36th Avenue	Vancouver
515000	621	1	1	Apt/Condo	Kitsilano	402-1875 W 8th Avenue	Vancouver
2595000	1837	3	3	Apt/Condo	West End	2901-1367 Alberni Street	Vancouver
3995000	2806	4	5	House	Southlands	4085 W 39th Avenue	Vancouver
769800	710	1	1	Apt/Condo	Downtown West	1902-1082 Seymour Street	Vancouver
760000	1321	3	3	Townhouse	South Marine	2822 E Kent Avenue South	Vancouver
1269800	1581	3	3	Townhouse	Hastings	1810 E Pender Street	Vancouver
2775000	1617	2	2	Apt/Condo	Yaletown	1901-1383 Marinaside Crescent	Vancouver
2098000	3931	4	3	Townhouse	University (Ubc)	2-5650 Hampton Place	Vancouver
1238000	1549	2	5	House	Renfrew	3658 Turner Street	Vancouver
488000	612	1	1	Apt/Condo	Kerrisdale	901-2165 W 40th Avenue	Vancouver
2789000	1493	3	2	Apt/Condo	Yaletown	201-1328 Marinaside Crescent	Vancouver
3200000	4170	7	10	House	Main	345 E 46th Avenue	Vancouver
10980000	5766	6	5	House	Shaughnessy	1098 Wolfe Avenue	Vancouver
799000	994	1	1	Apt/Condo	Strathcona	103-336 E 1st Avenue	Vancouver
1798000	2279	4	4	House	Mount Pleasant East	1913 Scotia Street	Vancouver
399000	659	1	1	Apt/Condo	Marpole	112-8622 Selkirk Street	Vancouver
869000	912	2	2	Townhouse	Fairview	3005 Laurel Street	Vancouver
523800	553	1	1	Apt/Condo	Downtown West	507-438 Seymour Street	Vancouver
1368000	1446	2	3	Apt/Condo	Yaletown	601-1177 Pacific Boulevard	Vancouver
4188000	3000	6	5	House	Dunbar	4016 W 32nd Avenue	Vancouver
999000	933	2	2	Apt/Condo	Yaletown	902-1055 Homer Street	Vancouver
15900000	4535	4	4	House	University (Ubc)	5787 Newton Wynd	Vancouver
585000	666	1	1	Apt/Condo	West End	102-1655 Nelson Street	Vancouver
488800	556	1	1	Apt/Condo	Colngwood	911-5470 Ormidale Street	Vancouver
2698000	4012	4	6	House	Southlands	3370 W 43rd Avenue	Vancouver
1300000	2003	2	6	House	Mount Pleasant East	811 E 12th Avenue	Vancouver
685000	635	1	1	Apt/Condo	Downtown West	202-1199 Seymour Street	Vancouver
4988000	3600	6	5	House	Point Grey	4437 W 13th Avenue	Vancouver
1299000	1270	2	2	Apt/Condo	West End	402-738 Broughton Street	Vancouver
2489000	1402	2	2	Apt/Condo	Coal Harbour	402-590 Nicola Street	Vancouver
725000	1115	2	3	Apt/Condo	Renfrew	302-2405 Kamloops Street	Vancouver
