price	sqft	bathrooms	bedrooms	type	region	address	city
885000	916	2	2	Apt/Condo	Kitsilano	203-1818 W 6th Avenue	Vancouver
779000	920	1	1	Apt/Condo	Downtown East	415-55 E Cordova Street	Vancouver
1669000	1728	4	4	Duplex	Grandview East	2222 E 10th Avenue	Vancouver
1369000	1332	3	3	Duplex	Grandview East	2224 E 10th Avenue	Vancouver
468000	462	1	0	Apt/Condo	Downtown West	601-1333 Hornby Street	Vancouver
2388000	1075	2	2	Apt/Condo	West End	1905-1221 Bidwell Street	Vancouver
759000	624	2	1	Apt/Condo	Grandview East	408-2250 Commercial Drive	Vancouver
3598000	2815	4	4	House	Kitsilano	3505 W 12th Avenue	Vancouver
1288000	1255	2	2	Apt/Condo	Shaughnessy	103-4900 Cartier Street	Vancouver
2888000	4187	8	10	House	Victoria East	1885 E 35th Avenue	Vancouver
618000	1065	2	2	Apt/Condo	South Marine	111-1990 E Kent Avenue South	Vancouver
1985000	3078	5	7	House	South Vancouver	922 E 51st Avenue	Vancouver
2830000	1600	3	2	Townhouse	Yaletown	410 Beach Crescent	Vancouver
739000	561	1	1	Apt/Condo	Yaletown	3301-909 Mainland Street	Vancouver
1498000	1334	2	2	Townhouse	Fairview	2632 Hemlock Street	Vancouver
969900	784	2	2	Apt/Condo	Marpole	1702-8031 Nunavut Lane	Vancouver
5358000	4085	7	5	House	Southlands	3869 W 51st Avenue	Vancouver
2199900	2758	4	5	House	Knight	5838 Dumfries Street	Vancouver
488000	683	1	2	Apt/Condo	Downtown East	501-138 E Hastings Street	Vancouver
2089800	2792	5	5	House	South Vancouver	417 E 61st Avenue	Vancouver
1998000	1464	2	2	House	Grandview East	1613 E 4th Avenue	Vancouver
1998000	1700	2	2	House	Grandview East	1611 E 4th Avenue	Vancouver
880000	848	2	2	Apt/Condo	University (Ubc)	220-2250 Wesbrook Mall	Vancouver
1998000	1892	2	2	House	Grandview East	1623 E 4th Avenue	Vancouver
659900	580	1	1	Apt/Condo	Downtown West	712-1372 Seymour Street	Vancouver
1598000	1307	3	3	Townhouse	Coal Harbour	1486 W Hastings Street	Vancouver
714900	788	1	1	Apt/Condo	Fairview	407-2288 Pine Street	Vancouver
5888900	2865	3	3	Apt/Condo	Downtown West	3601-838 W Hastings Street	Vancouver
2788000	1834	2	2	Apt/Condo	Downtown West	2902-565 Smithe Street	Vancouver
1388000	1241	2	2	Apt/Condo	Downtown West	2305-837 W Hastings Street	Vancouver
3199000	3296	6	5	House	Marpole	780 W 60th Avenue	Vancouver
1898000	1696	2	2	Apt/Condo	Fairview	724-1445 Marpole Avenue	Vancouver
1330000	1025	2	2	Apt/Condo	Oakridge	102-6383 Cambie Street	Vancouver
976000	1146	2	2	Apt/Condo	Kitsilano	412-1880 W 6th Avenue	Vancouver
2688000	2272	2	5	House	Dunbar	3804 W King Edward Avenue	Vancouver
2048000	1180	2	2	Apt/Condo	Coal Harbour	1703-1616 Bayshore Drive	Vancouver
699900	1672	3	3	Townhouse	Champlain Heights	3337 Flagstaff Place	Vancouver
1460000	1886	3	3	Townhouse	Quilchena	4414 Yew Street	Vancouver
2099000	1431	3	2	Apt/Condo	Coal Harbour	1402-1650 Bayshore Drive	Vancouver
1638000	1415	2	2	Townhouse	Downtown West	1110 Hornby Street	Vancouver
579000	667	1	1	Apt/Condo	Downtown West	1404-789 Drake Street	Vancouver
1790000	1100	2	2	Townhouse	Kitsilano	1363 Walnut Street	Vancouver
675000	526	1	1	Apt/Condo	Downtown West	903-950 Drake Street	Vancouver
1788888	1215	2	2	Apt/Condo	West End	2208-1111 Alberni Street	Vancouver
1499000	1256	2	3	Apt/Condo	False Creek	603-1887 Crowe Street	Vancouver
1499000	1068	2	2	Apt/Condo	Marpole	PH2601-8031 Nunavut Lane	Vancouver
1188000	907	2	2	Apt/Condo	University (Ubc)	307-3487 Binning Road	Vancouver
3980000	3505	3	5	House	Shaughnessy	1355 Devonshire Crescent	Vancouver
889900	852	2	2	Apt/Condo	University (Ubc)	215-6279 Eagles Drive	Vancouver
2880000	1986	3	7	House	Fraser East	734 E 41st Avenue	Vancouver
2648000	2293	3	5	House	Dunbar	3986 W 24th Avenue	Vancouver
5998000	4435	3	3	Townhouse	Shaughnessy	1337 The Crescent	Vancouver
6788000	5588	6	6	House	Dunbar	3792 W 33rd Avenue	Vancouver
1285000	1252	2	2	Apt/Condo	Kitsilano	714-2799 Yew Street	Vancouver
1998000	1500	2	4	House	Renfrew	2750 E 1st Avenue	Vancouver
668888	760	2	2	Apt/Condo	Renfrew	217-1838 Renfrew Street	Vancouver
