price	sqft	bathrooms	bedrooms	type	region	address	city
899900	1153	1	2	House	Strathcona	703 Heatley Avenue	Vancouver
1049000	858	2	2	Apt/Condo	Coal Harbour	404-1211 Melville Street	Vancouver
579900	530	1	1	Apt/Condo	West End	601-1003 Burnaby Street	Vancouver
3380000	2630	5	5	House	Mackenzie Heights	2889 W 28th Avenue	Vancouver
438000	464	1	1	Apt/Condo	Colngwood	208-2689 Kingsway	Vancouver
2988000	2475	4	4	House	Arbutus	2938 W 20th Avenue	Vancouver
2298000	2538	4	4	Townhouse	University (Ubc)	6387 Larkin Drive	Vancouver
620000	838	1	2	Apt/Condo	South Marine	116-3038 E Kent Avenue South	Vancouver
565000	570	1	1	Apt/Condo	Downtown West	2101-63 Keefer Place	Vancouver
3699000	2968	4	3	House	Kitsilano	1967 Creelman Avenue	Vancouver
3650000	2712	6	5	House	Point Grey	4618 W 8th Avenue	Vancouver
579000	740	1	1	Apt/Condo	Fairview	309-1551 W 11th Avenue	Vancouver
2399800	1778	2	2	Apt/Condo	False Creek	201-170 Athletes Way	Vancouver
589000	560	1	1	Apt/Condo	Mount Pleasant East	507-2477 Carolina Street	Vancouver
1849000	1702	2	2	Townhouse	Kitsilano	1975 Stephens Street	Vancouver
1069800	917	2	2	Apt/Condo	Downtown West	3502-128 W Cordova Street	Vancouver
2798000	2070	4	4	Duplex	Kitsilano	2493 W 7th Avenue	Vancouver
1098000	1159	2	2	Townhouse	Cambie	4128 Yukon Street	Vancouver
485000	619	1	2	Apt/Condo	Hastings	201-29 Nanaimo Street	Vancouver
799000	790	1	2	Apt/Condo	Downtown West	409-933 Hornby Street	Vancouver
459900	498	1	1	Apt/Condo	Downtown East	705-150 E Cordova Street	Vancouver
1198000	1206	2	2	Apt/Condo	University (Ubc)	305-6328 Larkin Drive	Vancouver
547000	638	1	1	Apt/Condo	Fairview	304-2935 Spruce Street	Vancouver
2888000	3012	4	8	House	Dunbar	4040 W 17th Avenue	Vancouver
1598000	2057	3	4	Duplex	Colngwood	2633 Duke Street	Vancouver
2389900	1749	3	3	Apt/Condo	South Cambie	201-375 W 59th Avenue	Vancouver
2225000	2111	4	4	Duplex	Mount Pleasant East	1190 E 15th Avenue	Vancouver
449000	636	1	1	Apt/Condo	Grandview East	217-1422 E 3rd Avenue	Vancouver
