price	sqft	bathrooms	bedrooms	type	region	address	city
1048000	1060	2	2	Townhouse	Fairview	536 W 7th Avenue	Vancouver
2988800	4809	7	10	House	Victoria East	2277 E 28th Avenue	Vancouver
584000	663	1	1	Apt/Condo	Kitsilano	6-1870 Yew Street	Vancouver
7680000	5174	6	4	House	Shaughnessy	4810 Osler Street	Vancouver
639800	624	1	1	Apt/Condo	False Creek	401-495 W 6th Avenue	Vancouver
1099900	1089	2	3	Apt/Condo	Fairview	804-2851 Heather Street	Vancouver
489000	1175	2	3	Townhouse	Champlain Heights	3452 Copeland Avenue	Vancouver
558000	754	1	1	Apt/Condo	Victoria East	58-2239 Kingsway	Vancouver
699000	558	1	1	Apt/Condo	Kitsilano	302-2033 W 10th Avenue	Vancouver
1848000	2149	4	7	House	Fraser East	448 E 45th Avenue	Vancouver
2399800	1629	2	2	Apt/Condo	West End	500-1410 Bute Street	Vancouver
1250000	1075	2	2	Apt/Condo	South Cambie	305-6633 Cambie Street	Vancouver
1198000	1240	2	2	Apt/Condo	Yaletown	1502-1177 Pacific Boulevard	Vancouver
3380000	3191	4	4	House	Southlands	3521 W 43rd Avenue	Vancouver
668000	507	1	1	Apt/Condo	Downtown West	1108-822 Seymour Street	Vancouver
1499000	2686	3	5	House	Renfrew	2707 E Georgia Street	Vancouver
716000	757	1	1	Apt/Condo	Mount Pleasant West	311-128 W 6th Avenue	Vancouver
1450000	1353	3	2	Apt/Condo	South Granville	608-7228 Adera Street	Vancouver
779000	702	1	1	Apt/Condo	Yaletown	1203-193 Aquarius Mews	Vancouver
1998000	2630	6	6	House	South Vancouver	1012 E 58th Avenue	Vancouver
699999	715	1	1	Apt/Condo	Main	311-3333 Main Street	Vancouver
1550000	2070	5	7	House	South Vancouver	7480 Main Street	Vancouver
848000	750	2	2	Apt/Condo	West End	1511-1331 Alberni Street	Vancouver
3788000	2939	4	4	House	Arbutus	3775 Carnarvon Street	Vancouver
878900	849	1	1	Apt/Condo	Yaletown	1006-1238 Richards Street	Vancouver
4599000	4460	5	5	House	Dunbar	4492 Crown Street	Vancouver
3185000	4581	5	4	House	Arbutus	2336 W 20th Avenue	Vancouver
2918000	2961	5	6	House	Main	4468 Ontario Street	Vancouver
3880000	3482	3	5	House	Shaughnessy	3690 East Boulevard	Vancouver
415000	463	1	0	Apt/Condo	Hastings	103-138 Templeton Drive	Vancouver
929000	720	1	1	Apt/Condo	Yaletown	3106-1408 Strathmore Mews	Vancouver
1550000	1282	3	2	Townhouse	Kitsilano	1545 Trafalgar Street	Vancouver
6500000	0	0	0	House	Point Grey	4632 Bellevue Drive	Vancouver
3990000	3959	5	6	House	Kerrisdale	2332 W 47th Avenue	Vancouver
599000	846	1	1	Apt/Condo	Kerrisdale	202-3088 W 41 Avenue	Vancouver
1650000	1736	3	3	Townhouse	Marpole	1-274 W 62nd Avenue	Vancouver
5500000	3000	2	4	House	Oakridge	458 W 44th Avenue	Vancouver
3588000	1928	3	2	Apt/Condo	Downtown West	SPH3504-838 W Hastings Street	Vancouver
1175000	1735	2	3	House	Colngwood	5232 Hoy Street	Vancouver
449900	600	1	1	Apt/Condo	Kitsilano	211-1990 W 6th Avenue	Vancouver
498000	668	1	1	Apt/Condo	Colngwood	1510-3663 Crowley Drive	Vancouver
899900	1190	2	2	Apt/Condo	University (Ubc)	434-5735 Hampton Place	Vancouver
1439000	1345	2	3	Duplex	Kitsilano	2084 Trutch Street	Vancouver
1498000	1288	2	2	Apt/Condo	Yaletown	1903-989 Beatty Street	Vancouver
1870000	1073	2	2	Apt/Condo	Point Grey	211-3639 16 Avenue	Vancouver
