price	sqft	bathrooms	bedrooms	type	region	address	city
1488000	1444	4	3	Duplex	Knight	1268 E 16th Avenue	Vancouver
649900	700	1	1	Apt/Condo	Kitsilano	205-2100 W 3rd Avenue	Vancouver
649000	600	1	1	Apt/Condo	Yaletown	3102-1008 Cambie Street	Vancouver
799900	700	1	1	Apt/Condo	Cambie	302-528 W King Edward Avenue	Vancouver
6680000	3601	5	4	House	Dunbar	4775 Blenheim Street	Vancouver
869000	1085	1	1	Apt/Condo	Mount Pleasant East	304-1850 Lorne Street	Vancouver
2198000	1887	1	3	House	Fraser East	896 E King Edward Avenue	Vancouver
1799000	1217	2	2	Apt/Condo	Yaletown	2005-8 Smithe Mews	Vancouver
1649000	1615	3	2	Apt/Condo	West End	3301-1288 W Georgia Street	Vancouver
1049000	1057	2	2	Apt/Condo	Downtown West	1102-889 Homer Street	Vancouver
3250000	4263	6	7	House	Quilchena	2421 Eddington Drive	Vancouver
459000	654	1	1	Apt/Condo	Mount Pleasant East	103-711 E 6th Avenue	Vancouver
4490000	4258	7	6	House	Cambie	361 W 19th Avenue	Vancouver
549900	493	1	1	Apt/Condo	Downtown West	513-1010 Howe Street	Vancouver
675000	530	1	1	Apt/Condo	Downtown West	2005-999 Seymour Street	Vancouver
1399000	1600	2	4	House	Knight	3532 Knight Street	Vancouver
11880000	3278	4	3	Apt/Condo	Coal Harbour	PH3801-1211 Melville Street	Vancouver
2498000	2932	4	5	Townhouse	Quilchena	4103 Vine Street	Vancouver
1083000	1027	2	3	Apt/Condo	University (Ubc)	520-6033 Gray Avenue	Vancouver
935000	1100	2	2	Townhouse	Mount Pleasant West	218 W 15th Avenue	Vancouver
7388900	3042	4	4	Apt/Condo	Coal Harbour	PH4-1777 Bayshore Drive	Vancouver
1490000	2166	2	5	House	Hastings Sunrise	2792 Mcgill Street	Vancouver
499000	743	1	2	Apt/Condo	Colngwood	103-3455 Ascot Place	Vancouver
599000	866	2	2	Apt/Condo	Colngwood	1605-3438 Vanness Avenue	Vancouver
1388900	2538	8	6	House	Strathcona	521 Union Street	Vancouver
1549000	1755	4	4	Duplex	Mount Pleasant East	1156 E 13th Avenue	Vancouver
524900	706	1	1	Apt/Condo	South Marine	108-2020 S East Kent Avenue	Vancouver
1189000	3189	8	9	House	Strathcona	518 Keefer Street	Vancouver
1388000	1998	2	6	House	Fraserview East	2262 Newport Avenue	Vancouver
968000	1054	2	1	Apt/Condo	Oakridge	102-6311 Cambie Street	Vancouver
949900	1035	2	2	Apt/Condo	Fairview	603-1633 W 8th Avenue	Vancouver
564000	790	2	2	Apt/Condo	Renfrew	201-405 Skeena Street	Vancouver
619900	780	1	1	Apt/Condo	Downtown West	402-33 W Pender Street	Vancouver
2333000	4025	4	8	House	South Vancouver	1024 E 51st Avenue	Vancouver
569000	1123	2	2	Townhouse	Champlain Heights	369-8025 Champlain Crescent	Vancouver
2149000	1927	3	2	Apt/Condo	West End	310-1789 Davie Street	Vancouver
1299000	1268	2	2	Apt/Condo	Coal Harbour	904-1415 W Georgia Street	Vancouver
559000	735	1	1	Apt/Condo	Downtown West	404-53 W Hastings Street	Vancouver
699000	635	1	2	Apt/Condo	Fairview	102-985 W 10th Avenue	Vancouver
4980000	2289	3	2	Apt/Condo	Downtown West	3605-667 Howe Street	Vancouver
1649000	1780	4	4	Duplex	Mount Pleasant East	1158 E 13th Avenue	Vancouver
1549000	1582	4	4	Duplex	Mount Pleasant East	1152 E 13th Avenue	Vancouver
7188000	3847	3	4	House	Point Grey	4646 W 3rd Avenue	Vancouver
599000	690	1	1	Apt/Condo	Downtown West	1-528 Beatty Street	Vancouver
1875000	1932	3	2	Apt/Condo	Fairview	2-2838 Birch Street	Vancouver
738000	871	2	1	Apt/Condo	False Creek	538-1515 W 2nd Avenue	Vancouver
768000	735	1	1	Apt/Condo	Cambie	206-4080 Yukon Street	Vancouver
799900	1040	2	2	Apt/Condo	South Marine	307-3138 Riverwalk Avenue	Vancouver
2988000	4652	6	8	House	Fraserview East	7569 Vivian Drive	Vancouver
579900	615	1	1	Apt/Condo	Mount Pleasant East	505-417 Great Northern Way	Vancouver
789000	667	1	1	Apt/Condo	Coal Harbour	1206-588 Broughton Street	Vancouver
2498800	2251	3	3	Townhouse	Cambie	5687 Baillie Street	Vancouver
3998000	2674	3	4	House	Point Grey	3822 W 3rd Avenue	Vancouver
3199000	3095	3	4	House	Shaughnessy	1576 W 16th Avenue	Vancouver
1064999	1163	3	3	Duplex	Mount Pleasant East	3103 St. George Street	Vancouver
1399000	1224	2	2	Apt/Condo	South Cambie	506-6933 Cambie Street	Vancouver
1396000	1117	2	2	Apt/Condo	South Cambie	602-6933 Cambie Street	Vancouver
1780000	1842	3	3	Duplex	Fairview	1234 W 15th Avenue	Vancouver
3560000	3684	6	7	House	Fairview	1234-48 W 15th Avenue	Vancouver
678000	552	1	1	Apt/Condo	Coal Harbour	302-1478 W. Hastings Street	Vancouver
899000	896	2	2	Apt/Condo	Downtown West	1302-821 Cambie Street	Vancouver
1299900	1160	2	2	Apt/Condo	Yaletown	1206-1201 Marinaside Crescent	Vancouver
2700000	2402	4	6	House	Renfrew	2957 E Broadway	Vancouver
1428000	2630	3	6	House	Renfrew	3304 E Georgia Street	Vancouver
4180000	3135	3	4	House	Point Grey	4327 Locarno Crescent	Vancouver
788000	916	2	2	Apt/Condo	University (Ubc)	902-5615 Hampton Place	Vancouver
350000	600	1	1	Apt/Condo	Kerrisdale	402-2165 W 40th Avenue	Vancouver
1199900	1485	2	5	House	Renfrew Heights	3275 E 20th Avenue	Vancouver
2088000	4173	2	7	House	South Vancouver	527 E 51st Avenue	Vancouver
769000	925	1	2	Apt/Condo	Kitsilano	203-1870 W 6th Avenue	Vancouver
738000	672	1	2	Apt/Condo	Coal Harbour	1609-1331 W Georgia Street	Vancouver
743888	1403	3	3	Townhouse	Killarney	206-5625 Senlac Street	Vancouver
1238000	1052	2	2	Apt/Condo	Yaletown	2302-550 Pacific Street	Vancouver
569000	544	1	1	Apt/Condo	South Marine	1208-8538 River District Crossing	Vancouver
630000	630	1	1	Apt/Condo	Fairview	204-2483 Spruce Street	Vancouver
799900	989	1	0	Apt/Condo	Strathcona	299 Alexander Street	Vancouver
599000	626	1	1	Apt/Condo	West End	208-1550 Barclay Street	Vancouver
1100000	974	2	2	Apt/Condo	Marpole	3103-8131 Nunavut Lane	Vancouver
5288000	4749	7	6	House	Shaughnessy	1138 W 38th Avenue	Vancouver
2798000	1964	3	3	Apt/Condo	Yaletown	901-1280 Richards Street	Vancouver
615000	706	1	2	Apt/Condo	Downtown West	307-1177 Hornby Street	Vancouver
2588000	2362	3	5	House	Mackenzie Heights	2714 W 32nd Avenue	Vancouver
799000	770	1	1	Apt/Condo	False Creek	611-181 W 1st Avenue	Vancouver
735000	743	1	1	Apt/Condo	Yaletown	607-1323 Homer Street	Vancouver
3888000	3615	4	4	House	Point Grey	4584 W 1st Avenue	Vancouver
488000	446	1	0	Apt/Condo	Yaletown	1006-939 Expo Boulevard	Vancouver
1098000	1400	2	4	House	Renfrew	2092 Nanaimo Street	Vancouver
2998000	3289	4	4	Townhouse	Shaughnessy	74-4900 Cartier Street	Vancouver
699000	965	1	2	Apt/Condo	Fairview	102-1595 W 14th Avenue	Vancouver
2550000	1758	3	3	Apt/Condo	Yaletown	3502-1495 Richards Street	Vancouver
849000	905	2	2	Apt/Condo	South Marine	1107-8538 River District Crossing	Vancouver
1660000	2410	4	5	House	South Vancouver	308 E 55th Avenue	Vancouver
625000	508	1	1	Apt/Condo	West End	303-1889 Alberni Street	Vancouver
526999	664	1	1	Apt/Condo	Dunbar	308-3590 W 26th Avenue	Vancouver
1484000	1290	3	3	Apt/Condo	Main	502-108 E 35th Avenue	Vancouver
1398000	1434	2	2	Apt/Condo	Downtown East	211-55 E Cordova Street	Vancouver
1388000	1116	2	2	Apt/Condo	False Creek	404-1485 W 6th Avenue	Vancouver
4598000	4161	5	5	House	South Granville	5846 Angus Drive	Vancouver
499900	677	1	1	Apt/Condo	Mount Pleasant East	W315-488 Kingsway	Vancouver
749000	870	2	2	Apt/Condo	Renfrew	205-2888 E 2nd Avenue	Vancouver
